geoid,state_fips,county_fips,state,county,district,division,statute_url
0500000US01099,01,099,Alabama,Monroe,Southern,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01079,01,079,Alabama,Lawrence,Northern,Northeastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01081,01,081,Alabama,Lee,Middle,Eastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01107,01,107,Alabama,Pickens,Northern,Western,https://www.law.cornell.edu/uscode/text/28/81
0500000US01119,01,119,Alabama,Sumter,Northern,Western,https://www.law.cornell.edu/uscode/text/28/81
0500000US01023,01,023,Alabama,Choctaw,Southern,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01091,01,091,Alabama,Marengo,Southern,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01113,01,113,Alabama,Russell,Middle,Eastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01039,01,039,Alabama,Covington,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01041,01,041,Alabama,Crenshaw,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01077,01,077,Alabama,Lauderdale,Northern,Northwestern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01085,01,085,Alabama,Lowndes,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01083,01,083,Alabama,Limestone,Northern,Northeastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01115,01,115,Alabama,St. Clair,Northern,Middle,https://www.law.cornell.edu/uscode/text/28/81
0500000US01133,01,133,Alabama,Winston,Northern,Jasper,https://www.law.cornell.edu/uscode/text/28/81
0500000US01043,01,043,Alabama,Cullman,Northern,Northeastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01051,01,051,Alabama,Elmore,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01071,01,071,Alabama,Jackson,Northern,Northeastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01121,01,121,Alabama,Talladega,Northern,Eastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01129,01,129,Alabama,Washington,Southern,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01031,01,031,Alabama,Coffee,Middle,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01103,01,103,Alabama,Morgan,Northern,Northeastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01021,01,021,Alabama,Chilton,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01033,01,033,Alabama,Colbert,Northern,Northwestern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01045,01,045,Alabama,Dale,Middle,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01055,01,055,Alabama,Etowah,Northern,Middle,https://www.law.cornell.edu/uscode/text/28/81
0500000US01049,01,049,Alabama,DeKalb,Northern,Middle,https://www.law.cornell.edu/uscode/text/28/81
0500000US01075,01,075,Alabama,Lamar,Northern,Jasper,https://www.law.cornell.edu/uscode/text/28/81
0500000US01111,01,111,Alabama,Randolph,Middle,Eastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01097,01,097,Alabama,Mobile,Southern,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01127,01,127,Alabama,Walker,Northern,Jasper,https://www.law.cornell.edu/uscode/text/28/81
0500000US01029,01,029,Alabama,Cleburne,Northern,Eastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01063,01,063,Alabama,Greene,Northern,Western,https://www.law.cornell.edu/uscode/text/28/81
0500000US01005,01,005,Alabama,Barbour,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01011,01,011,Alabama,Bullock,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01015,01,015,Alabama,Calhoun,Northern,Eastern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01025,01,025,Alabama,Clarke,Southern,Southern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01101,01,101,Alabama,Montgomery,Middle,Northern,https://www.law.cornell.edu/uscode/text/28/81
0500000US01095,01,095,Alabama,Marshall,Northern,Middle,https://www.law.cornell.edu/uscode/text/28/81
0500000US01067,01,067,Alabama,Henry,Middle,Southern,https://www.law.cornell.edu/uscode/text/28/81
