zip,city,stusab,latitude,longitude,INTPTLAT,INTPTLONG,zcta,"point map url
",zip map url,result,notes,census_reporter_check
02123,Boston,MA,42.3389,-70.9196,,,,point map,zip map,02215,,data profile
02204,Boston,MA,42.3389,-70.9196,,,,point map,zip map,02203,,data profile
02206,Boston,MA,42.3389,-70.9196,,,,point map,zip map,02203,,data profile
02217,Boston,MA,42.3389,-70.9196,,,,point map,zip map,02108,,data profile
02283,Boston,MA,42.3389,-70.9196,,,,point map,zip map,02111,,data profile
02284,Boston,MA,42.3389,-70.9196,,,,point map,zip map,02111,,data profile
04737,Clayton Lake,ME,46.6109,-69.5223,,,,point map,zip map,,Unorganized territory/wilderness,
12820,Cleverdale,NY,43.4718,-73.6393,,,,point map,zip map,12804,,data profile
14010,Athol Springs,NY,42.7684,-78.8871,,,,point map,zip map,14075,,data profile
14231,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14221,,data profile
14233,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
14240,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
14260,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14204,,data profile
14263,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14203,,data profile
14265,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
14267,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
14269,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
14270,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
14272,Buffalo,NY,42.7684,-78.8871,,,,point map,zip map,14206,,data profile
16514,Erie,PA,42.1827,-80.0649,,,,point map,zip map,16510,,data profile
16515,Erie,PA,42.1827,-80.0649,,,,point map,zip map,16506,,data profile
16531,Erie,PA,42.1827,-80.0649,,,,point map,zip map,16511,,data profile
16544,Erie,PA,42.1827,-80.0649,,,,point map,zip map,16502,,data profile
16565,Erie,PA,42.1827,-80.0649,,,,point map,zip map,16509,,data profile
20242,Washington,DC,38.8678,-77.0289,,,,point map,zip map,20024,,data profile
26289,Red Creek,WV,39.1179,-79.5637,,,,point map,zip map,26260,,data profile
28406,Wilmington,NC,34.0881,-77.8526,,,,point map,zip map,28401,,data profile
28407,Wilmington,NC,34.0881,-77.8526,,,,point map,zip map,28409,,data profile
28410,Wilmington,NC,34.0881,-77.8526,,,,point map,zip map,28412,,data profile
28542,Camp Lejeune,NC,34.664,-77.4637,,,,point map,zip map,28412,,data profile
32588,Niceville,FL,30.6612,-86.5945,,,,point map,zip map,32578,,data profile
33568,Riverview,FL,27.872,-82.4388,,,,point map,zip map,33569,,data profile
33583,Seffner,FL,27.872,-82.4388,,,,point map,zip map,33584,,data profile
33630,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33631,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33633,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33650,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33660,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33661,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33662,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33663,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33619,,data profile
33664,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33673,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33603,,data profile
33674,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33604,,data profile
33675,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33605,,data profile
33677,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33607,,data profile
33679,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33609,,data profile
33680,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33610,,data profile
33681,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33611,,data profile
33682,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33612,,data profile
33684,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33614,,data profile
33685,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33634,,data profile
33686,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33616,,data profile
33687,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33617,,data profile
33688,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33618,,data profile
33694,Tampa,FL,27.872,-82.4388,,,,point map,zip map,33618,,data profile
44181,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44113,,data profile
44188,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44142,,data profile
44190,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44115,,data profile
44191,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44115,,data profile
44194,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44115,,data profile
44195,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44106,,data profile
44197,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44115,,data profile
44198,Cleveland,OH,41.6857,-81.6728,,,,point map,zip map,44115,,data profile
53082,Sheboygan,WI,43.7183,-87.6187,,,,point map,zip map,53081,,data profile
53401,Racine,WI,42.7272,-87.676,,,,point map,zip map,53403,,data profile
53408,Racine,WI,42.7272,-87.676,,,,point map,zip map,53406,,data profile
54221,Manitowoc,WI,44.1323,-87.599,,,,point map,zip map,54220,,data profile
54903,Oshkosh,WI,44.0686,-88.6449,,,,point map,zip map,54902,,data profile
54906,Oshkosh,WI,44.0686,-88.6449,,,,point map,zip map,54901,,data profile
59921,Lake Mc Donald,MT,48.2989,-113.9497,,,,point map,zip map,59936,,data profile
60011,Barrington,IL,42.3228,-87.6101,,,,point map,zip map,60010,,data profile
60086,North Chicago,IL,42.4333,-87.7766,,,,point map,zip map,60064,,data profile
70044,Chalmette,LA,29.9676,-89.9514,,,,point map,zip map,70043,,data profile
70181,New Orleans,LA,29.6779,-90.0901,,,,point map,zip map,70123,,data profile
79166,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79103,,data profile
79168,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79103,,data profile
79172,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79103,,data profile
79174,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79103,,data profile
79178,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79109,,data profile
79185,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79103,,data profile
79189,Amarillo,TX,35.4015,-101.8951,,,,point map,zip map,79103,,data profile
79740,Girvin,TX,31.0629,-102.3885,,,,point map,zip map,79752,,data profile
82931,Evanston,WY,41.2619,-110.92,,,,point map,zip map,82930,,data profile
83343,Minidoka,ID,42.773,-113.5098,,,,point map,zip map,83350,,data profile
83441,Rexburg,ID,43.7761,-111.691,,,,point map,zip map,83448,,data profile
84008,Bonanza,UT,40.0211,-109.1773,,,,point map,zip map,84078,,data profile
84089,Clearfield,UT,40.9635,-112.116,,,,point map,zip map,84015,,data profile
87654,Spaceport City,NM,32.9903,-106.9697,,,,point map,zip map,88012,,data profile
88901,The Lakes,NV,36.3225,-114.8197,,,,point map,zip map,89101,,data profile
89023,Mercury,NV,36.6605,-115.9945,,,,point map,zip map,,No zip code - former nuclear testing area?,
89037,Coyote Springs,NV,36.1579,-114.934,,,,point map,zip map,89040,,data profile
91023,Mount Wilson,CA,34.2264,-118.0662,,,,point map,zip map,91107,,data profile
92202,Indio,CA,33.7529,-116.0556,,,,point map,zip map,92201,,data profile
93031,Oxnard,CA,34.0324,-119.1343,,,,point map,zip map,93036,,data profile
93034,Oxnard,CA,34.0324,-119.1343,,,,point map,zip map,93033,,data profile
93199,Goleta,CA,34.2628,-119.8486,,,,point map,zip map,93117,,data profile
93246,Lemoore,CA,36.1389,-119.8947,,,,point map,zip map,93245,,data profile
93504,California City,CA,35.1871,-117.8854,,,,point map,zip map,93505,,data profile
93542,Little Lake,CA,35.9366,-117.9067,,,,point map,zip map,93549,,data profile
95940,Feather Falls,CA,39.622,-121.2669,,,,point map,zip map,95965,,data profile
96718,Hawaii National Park,HI,19.5935,-155.438,,,,point map,zip map,,National Park,
96745,Kailua Kona,HI,19.5935,-155.438,,,,point map,zip map,96740,,data profile
96898,Wake Island,HI,19.2836,166.6419,,,,point map,zip map,96819,,data profile
97010,Bridal Veil,OR,45.583,-122.1011,,,,point map,zip map,97014,,data profile
97703,Bend,OR,44.0915,-121.4073,,,,point map,zip map,97701,,data profile
99731,Fort Greely,AK,63.952,-146.451,,,,point map,zip map,99737,,data profile
36515,CARLTON,AL,,,,,,,zip map,36545,,data profile
36625,MOBILE,AL,,,,,,,zip map,36602,,data profile
36630,MOBILE,AL,,,,,,,zip map,36602,,data profile
36762,MORVIN,AL,,,,,,,zip map,36784,,data profile
92326,CREST PARK,CA,,,,,,,zip map,92378,,data profile
06859,NORWALK,CT,,,,,,,zip map,06851,,data profile
33159,MIAMI,FL,,,,,,,zip map,33131,,data profile
34249,SARASOTA,FL,,,,,,,zip map,34238,,data profile
30219,GLENN,GA,,,,,,,zip map,30217,,data profile
60170,PLATO CENTER,IL,,,,,,,zip map,60123,,data profile
60290,CHICAGO,IL,,,,,,,zip map,60608,,data profile
62721,SPRINGFIELD,IL,,,,,,,zip map,62703,,data profile
46210,INDIANAPOLIS,IN,,,,,,,zip map,46231,,data profile
40446,LANCASTER,KY,,,,,,,zip map,40444,,data profile
01477,WINCHENDON SPRINGS,MA,,,,,,,zip map,01475,,data profile
02228,EAST BOSTON,MA,,,,,,,zip map,02108,,data profile
55365,MONTICELLO,MN,,,,,,,zip map,55309,,data profile
55590,MONTICELLO,MN,,,,,,,zip map,55309,,data profile
55701,ADOLPH,MN,,,,,,,zip map,55811,,data profile
56006,MANKATO,MN,,,,,,,zip map,56001,,data profile
56478,NIMROD,MN,,,,,,,zip map,56477,,data profile
39072,POCAHONTAS,MS,,,,,,,zip map,39209,,data profile
07709,RED BANK,NJ,,,,,,,zip map,07723,,data profile
10292,NEW YORK,NY,,,,,,,zip map,10007,,data profile
44488,WARREN,OH,,,,,,,zip map,44483,,data profile
17839,LIGHT STREET,PA,,,,,,,zip map,17815,,data profile
18010,ACKERMANVILLE,PA,,,,,,,zip map,18013,"from Wikipedia ""Ackermanville previously had a post office with a ZIP code of 18010; however, this ZIP code was retired in 2016""",data profile
18050,FLICKSVILLE,PA,,,,,,,zip map,18013,,data profile
76505,TEMPLE,TX,,,,,,,zip map,76501,,data profile
77709,BEAUMONT,TX,,,,,,,zip map,77713,,data profile
78049,LAREDO,TX,,,,,,,zip map,78041,,data profile
23520,NORFOLK,VA,,,,,,,zip map,23510,,data profile
23521,NORFOLK,VA,,,,,,,zip map,23460,,data profile
98132,SEATTLE,WA,,,,,,,zip map,98101,,data profile
98189,SEATTLE,WA,,,,,,,zip map,98032,,data profile
01004,Amherst,MA,42.3845,-72.5132,,,01002,point map,zip map,,,
01059,North Amherst,MA,42.4104,-72.5309,,,01002,point map,zip map,,,
01014,Chicopee,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01021,Chicopee,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01090,West Springfield,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01152,Springfield,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01102,Springfield,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01111,Springfield,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
