zip,city,stusab,latitude,longitude,INTPTLAT,INTPTLONG,zcta,"point map url
",zip map url,result,notes,census_reporter_check
01116,Longmeadow,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01138,Springfield,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01139,Springfield,MA,42.1707,-72.6048,,,01020,point map,zip map,,,
01041,Holyoke,MA,42.2043,-72.6162,,,01040,point map,zip map,,,
01061,Northampton,MA,42.3696,-72.636,,,01088,point map,zip map,,,
01101,Springfield,MA,42.1015,-72.5898,,,01103,point map,zip map,,,
01144,Springfield,MA,42.1018,-72.5915,,,01103,point map,zip map,,,
01115,Springfield,MA,42.1029,-72.5916,,,01103,point map,zip map,,,
01227,Dalton,MA,42.4737,-73.1662,,,01226,point map,zip map,,,
01252,North Egremont,MA,42.1986,-73.4462,,,01230,point map,zip map,,,
01203,Pittsfield,MA,42.3929,-73.2285,,,01240,point map,zip map,,,
01263,Stockbridge,MA,42.3929,-73.2285,,,01240,point map,zip map,,,
01202,Pittsfield,MA,42.3929,-73.2285,,,01240,point map,zip map,,,
01302,Greenfield,MA,42.5222,-72.6242,,,01342,point map,zip map,,,
01380,Wendell Depot,MA,42.5534,-72.3927,,,01379,point map,zip map,,,
01470,Groton,MA,42.6112,-71.5745,,,01450,point map,zip map,,,
01471,Groton,MA,42.6112,-71.5745,,,01450,point map,zip map,,,
01472,West Groton,MA,42.6043,-71.6273,,,01450,point map,zip map,,,
01441,Westminster,MA,42.5459,-71.9106,,,01473,point map,zip map,,,
01509,Charlton Depot,MA,42.1731,-71.9787,,,01507,point map,zip map,,,
01508,Charlton City,MA,42.1459,-71.9884,,,01507,point map,zip map,,,
01653,Worcester,MA,42.3648,-71.8969,,,01522,point map,zip map,,,
01546,Shrewsbury,MA,42.3648,-71.8969,,,01522,point map,zip map,,,
01655,Worcester,MA,42.3648,-71.8969,,,01522,point map,zip map,,,
01586,West Millbury,MA,42.1712,-71.8037,,,01527,point map,zip map,,,
01538,North Uxbridge,MA,42.0876,-71.6412,,,01569,point map,zip map,,,
01526,Manchaug,MA,42.0945,-71.7476,,,01590,point map,zip map,,,
01613,Worcester,MA,42.2933,-71.802,,,01606,point map,zip map,,,
01601,Worcester,MA,42.2626,-71.8023,,,01608,point map,zip map,,,
01614,Worcester,MA,42.2626,-71.8023,,,01608,point map,zip map,,,
01615,Worcester,MA,42.2626,-71.8023,,,01608,point map,zip map,,,
01784,Woodville,MA,42.2376,-71.562,,,01748,point map,zip map,,,
01705,Framingham,MA,42.4464,-71.4594,,,01754,point map,zip map,,,
01704,Framingham,MA,42.4464,-71.4594,,,01754,point map,zip map,,,
02456,New Town,MA,42.4464,-71.4594,,,01754,point map,zip map,,,
01703,Framingham,MA,42.4464,-71.4594,,,01754,point map,zip map,,,
01888,Woburn,MA,42.4793,-71.1523,,,01801,point map,zip map,,,
01813,Woburn,MA,42.4793,-71.1523,,,01801,point map,zip map,,,
01815,Woburn,MA,42.4793,-71.1523,,,01801,point map,zip map,,,
01805,Burlington,MA,42.5048,-71.1956,,,01803,point map,zip map,,,
01812,Andover,MA,42.6472,-71.1842,,,01810,point map,zip map,,,
05501,Andover,MA,42.6472,-71.1842,,,01810,point map,zip map,,,
05544,Andover,MA,42.6472,-71.1842,,,01810,point map,zip map,,,
01899,Andover,MA,42.6584,-71.137,,,01810,point map,zip map,,,
01822,Billerica,MA,42.5584,-71.2689,,,01821,point map,zip map,,,
01865,Nutting Lake,MA,42.5379,-71.2689,,,01821,point map,zip map,,,
01866,Pinehurst,MA,42.5293,-71.2281,,,01821,point map,zip map,,,
01831,Haverhill,MA,42.7711,-71.1221,,,01832,point map,zip map,,,
01842,Lawrence,MA,42.707,-71.1631,,,01840,point map,zip map,,,
01853,Lowell,MA,42.6334,-71.3162,,,01851,point map,zip map,,,
01889,North Reading,MA,42.5716,-71.1096,,,01864,point map,zip map,,,
01903,Lynn,MA,42.4668,-70.9495,,,01902,point map,zip map,,,
01910,Lynn,MA,42.4548,-70.9747,,,01905,point map,zip map,,Google says 01901,
01965,Prides Crossing,MA,42.5581,-70.8257,,,01915,point map,zip map,,,
01885,West Boxford,MA,42.707,-71.0639,,,01921,point map,zip map,,,
01931,Gloucester,MA,42.6159,-70.662,,,01930,point map,zip map,,,
01936,Hamilton,MA,42.6354,-70.8791,,,01982,point map,zip map,,,
01961,Peabody,MA,42.6354,-70.8791,,,01982,point map,zip map,,,
01971,Salem,MA,42.6354,-70.8791,,,01982,point map,zip map,,,
02027,Dedham,MA,42.18,-71.0892,,,02021,point map,zip map,,,
02185,Braintree,MA,42.18,-71.0892,,,02021,point map,zip map,,,
02044,Hingham,MA,42.2418,-70.8898,,,02043,point map,zip map,,,
02065,Ocean Bluff,MA,42.0972,-70.6516,,,02050,point map,zip map,,,
02059,North Marshfield,MA,42.1432,-70.7703,,,02050,point map,zip map,,,
02051,Marshfield Hills,MA,42.1512,-70.7341,,,02050,point map,zip map,,,
02020,Brant Rock,MA,42.0818,-70.6439,,,02050,point map,zip map,,,
02018,Accord,MA,42.1745,-70.8837,,,02061,point map,zip map,,,
02055,Minot,MA,42.2404,-70.762,,,02066,point map,zip map,,,
02060,North Scituate,MA,42.219,-70.7856,,,02066,point map,zip map,,,
02040,Greenbush,MA,42.1793,-70.7495,,,02066,point map,zip map,,,
02070,Sheldonville,MA,42.0348,-71.387,,,02093,point map,zip map,,,
02266,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02241,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02212,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02211,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02201,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02196,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02297,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02133,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02117,Boston,MA,42.3585,-71.058,,,02108,point map,zip map,,,
02112,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02293,Boston,MA,42.3584,-71.0598,,,02108,point map,zip map,,,
02205,Boston,MA,42.3503,-71.0539,,,02111,point map,zip map,,,
02222,Boston,MA,42.3644,-71.0633,,,02114,point map,zip map,,,
02298,Boston,MA,42.3823,-71.0323,,,02128,point map,zip map,,,
02137,Readville,MA,42.2404,-71.137,,,02136,point map,zip map,,,
02238,Cambridge,MA,42.3751,-71.1056,,,02139,point map,zip map,,,
02156,West Medford,MA,42.4223,-71.1328,,,02155,point map,zip map,,,
02153,Medford,MA,42.4184,-71.1062,,,02155,point map,zip map,,,
02269,Quincy,MA,42.2529,-71.0023,,,02169,point map,zip map,,,
02187,Milton Village,MA,42.2668,-71.0717,,,02186,point map,zip map,,,
02303,Brockton,MA,42.0834,-71.0184,,,02301,point map,zip map,,,
02304,Brockton,MA,42.0834,-71.0184,,,02301,point map,zip map,,,
02305,Brockton,MA,42.0834,-71.0184,,,02301,point map,zip map,,,
02325,Bridgewater,MA,41.9873,-70.9728,,,02324,point map,zip map,,,
02355,North Carver,MA,41.9169,-70.8013,,,02330,point map,zip map,,,
02041,Green Harbor,MA,42.0696,-70.6491,,,02332,point map,zip map,,,
02337,Elmwood,MA,42.0098,-70.962,,,02333,point map,zip map,,,
02340,Hanover,MA,42.1137,-70.8161,,,02339,point map,zip map,,,
02350,Monponsett,MA,42.0185,-70.8475,,,02341,point map,zip map,,,
02344,Middleboro,MA,41.8932,-70.9112,,,02346,point map,zip map,,,
02349,Middleboro,MA,41.8932,-70.9112,,,02346,point map,zip map,,,
02348,Lakeville,MA,41.8459,-70.9495,,,02347,point map,zip map,,,
02327,Bryantville,MA,42.0407,-70.8272,,,02359,point map,zip map,,,
02358,North Pembroke,MA,42.0932,-70.7925,,,02359,point map,zip map,,,
02381,White Horse Beach,MA,41.9316,-70.5611,,,02360,point map,zip map,,,
02362,Plymouth,MA,41.9584,-70.6673,,,02360,point map,zip map,,,
02361,Plymouth,MA,41.9705,-70.7014,,,02360,point map,zip map,,,
02345,Manomet,MA,41.8882,-70.581,,,02360,point map,zip map,,,
02331,Duxbury,MA,41.9705,-70.7014,,,02360,point map,zip map,,,
02334,Easton,MA,42.0235,-71.1324,,,02375,point map,zip map,,,
02447,Brookline Village,MA,42.3329,-71.1162,,,02445,point map,zip map,,,
02454,Waltham,MA,42.3567,-71.2505,,,02453,point map,zip map,,,
02495,Nonantum,MA,42.3626,-71.2023,,,02458,point map,zip map,,,
02455,North Waltham,MA,42.3621,-71.2055,,,02460,point map,zip map,,,
02477,Watertown,MA,42.3709,-71.1828,,,02472,point map,zip map,,,
02471,Watertown,MA,42.3709,-71.1828,,,02472,point map,zip map,,,
02475,Arlington Heights,MA,42.4204,-71.1801,,,02476,point map,zip map,,,
02479,Waverley,MA,42.3876,-71.1828,,,02478,point map,zip map,,,
02541,Falmouth,MA,41.5515,-70.6148,,,02540,point map,zip map,,,
02574,West Falmouth,MA,41.6039,-70.6382,,,02540,point map,zip map,,,
02552,Menemsha,MA,41.3798,-70.6431,,,02575,point map,zip map,,,
02634,Centerville,MA,41.6487,-70.3481,,,02632,point map,zip map,,,
02661,South Harwich,MA,41.6862,-70.0329,,,02645,point map,zip map,,,
02662,South Orleans,MA,41.7567,-69.9841,,,02653,point map,zip map,,,
02722,Fall River,MA,41.7015,-71.155,,,02720,point map,zip map,,,
02741,New Bedford,MA,41.6362,-70.9342,,,02740,point map,zip map,,,
02742,New Bedford,MA,41.6362,-70.9342,,,02740,point map,zip map,,,
02714,Dartmouth,MA,41.7562,-71.0671,,,02747,point map,zip map,,,
02783,Taunton,MA,41.7562,-71.0671,,,02747,point map,zip map,,,
02768,Raynham Center,MA,41.7562,-71.0671,,,02747,point map,zip map,,,
02761,North Attleboro,MA,41.9834,-71.3328,,,02760,point map,zip map,,,
02712,Chartley,MA,41.9487,-71.2259,,,02766,point map,zip map,,,
02880,Wakefield,RI,41.3753,-71.6439,,,02813,point map,zip map,,,
02829,Harmony,RI,41.8793,-71.5894,,,02814,point map,zip map,,,
02877,Slocum,RI,41.5289,-71.5299,,,02822,point map,zip map,,,
02823,Fiskeville,RI,41.7312,-71.5468,,,02831,point map,zip map,,,
02801,Adamsville,RI,41.5301,-71.2841,,,02842,point map,zip map,,,
02862,Pawtucket,RI,41.8612,-71.3691,,,02860,point map,zip map,,,
02883,Peace Dale,RI,41.4512,-71.4987,,,02879,point map,zip map,,,
02887,Warwick,RI,41.7001,-71.4162,,,02889,point map,zip map,,,
02824,Forestdale,RI,42.0002,-71.5631,,,02896,point map,zip map,,,
02902,Providence,RI,41.8184,-71.4249,,,02903,point map,zip map,,,
02901,Providence,RI,41.8227,-71.4145,,,02903,point map,zip map,,,
02940,Providence,RI,41.824,-71.4128,,,02903,point map,zip map,,,
02918,Providence,RI,41.8415,-71.4404,,,02908,point map,zip map,,,
03040,East Candia,NH,43.0481,-71.2487,,,03034,point map,zip map,,,
03041,East Derry,NH,42.8945,-71.2912,,,03038,point map,zip map,,,
03061,Nashua,NH,42.7654,-71.4676,,,03064,point map,zip map,,,
03073,North Salem,NH,42.837,-71.2206,,,03079,point map,zip map,,,
03105,Manchester,NH,42.9956,-71.4548,,,03104,point map,zip map,,,
03108,Manchester,NH,42.9956,-71.4548,,,03104,point map,zip map,,,
03111,Manchester,NH,42.9956,-71.4548,,,03104,point map,zip map,,,
03247,Laconia,NH,43.589,-71.4455,,,03246,point map,zip map,,,
03299,Tilton,NH,43.5249,-71.4458,,,03249,point map,zip map,,,
03298,Tilton,NH,43.5249,-71.4458,,,03249,point map,zip map,,,
03272,South Newbury,NH,43.2956,-71.9967,,,03255,point map,zip map,,,
03252,Lochmere,NH,43.4686,-71.5371,,,03276,point map,zip map,,,
03289,Winnisquam,NH,43.4964,-71.5197,,,03276,point map,zip map,,,
03305,Concord,NH,43.2134,-71.5172,,,03301,point map,zip map,,,
03302,Concord,NH,43.3103,-71.6629,,,03303,point map,zip map,,,
03435,Keene,NH,42.9337,-72.2781,,,03431,point map,zip map,,,
03469,West Swanzey,NH,42.8734,-72.3151,,,03446,point map,zip map,,,
03468,West Peterborough,NH,42.8908,-71.9334,,,03458,point map,zip map,,,
03589,Mount Washington,NH,44.6956,-71.3874,,,03597,point map,zip map,,,
03749,Enfield Center,NH,43.5796,-72.0854,,,03748,point map,zip map,,,
03756,Lebanon,NH,43.6423,-72.2518,,,03766,point map,zip map,,,
03769,Lyme Center,NH,43.7863,-72.1205,,,03768,point map,zip map,,,
03802,Portsmouth,NH,43.0718,-70.7626,,,03801,point map,zip map,,,
03803,Portsmouth,NH,43.0718,-70.7626,,,03801,point map,zip map,,,
03804,Portsmouth,NH,43.0718,-70.7626,,,03801,point map,zip map,,,
03821,Dover,NH,43.1979,-70.8737,,,03820,point map,zip map,,,
03822,Dover,NH,43.1979,-70.8737,,,03820,point map,zip map,,,
03843,Hampton,NH,43.0059,-71.0132,,,03833,point map,zip map,,,
03859,Newton Junction,NH,42.8619,-71.04,,,03858,point map,zip map,,,
03866,Rochester,NH,43.3045,-70.9756,,,03867,point map,zip map,,,
03815,Center Strafford,NH,43.2629,-71.1071,,,03884,point map,zip map,,,
03897,Wonalancet,NH,43.9073,-71.3506,,,03886,point map,zip map,,,
03896,Wolfeboro Falls,NH,43.5892,-71.2189,,,03894,point map,zip map,,,
04077,South Casco,ME,43.91,-70.5245,,,04015,point map,zip map,,,
04078,South Freeport,ME,43.8208,-70.1208,,,04032,point map,zip map,,,
04034,Freeport,ME,43.857,-70.1031,,,04032,point map,zip map,,,
04033,Freeport,ME,43.857,-70.1031,,,04032,point map,zip map,,,
04013,Bustins Island,ME,43.799,-70.0698,,,04032,point map,zip map,,,
04094,West Kennebunk,ME,43.4061,-70.5733,,,04043,point map,zip map,,,
04007,Biddeford,ME,43.4581,-70.5053,,,04046,point map,zip map,,,
04028,East Parsonsfield,ME,43.7334,-70.8434,,,04047,point map,zip map,,,
04016,Center Lovell,ME,44.181,-70.8917,,,04051,point map,zip map,,,
04082,South Windham,ME,43.7362,-70.4237,,,04062,point map,zip map,,,
04070,Scarborough,ME,43.577,-70.2736,,,04074,point map,zip map,,,
04054,Moody,ME,43.2763,-70.5978,,,04090,point map,zip map,,,
04014,Cape Porpoise,ME,43.3657,-70.6044,,,04090,point map,zip map,,,
04098,Westbrook,ME,43.677,-70.3712,,,04092,point map,zip map,,,
04004,Bar Mills,ME,43.6131,-70.5498,,,04093,point map,zip map,,,
04124,Portland,ME,43.6615,-70.2553,,,04101,point map,zip map,,,
04123,Portland,ME,43.6615,-70.2553,,,04101,point map,zip map,,,
04122,Portland,ME,43.6615,-70.2553,,,04101,point map,zip map,,,
04104,Portland,ME,43.6615,-70.2553,,,04101,point map,zip map,,,
04112,Portland,ME,43.6615,-70.2553,,,04101,point map,zip map,,,
04116,South Portland,ME,43.6415,-70.2409,,,04106,point map,zip map,,,
04223,Danville,ME,44.0239,-70.2857,,,04210,point map,zip map,,,
04262,North Jay,ME,44.5473,-70.2381,,,04239,point map,zip map,,,
04288,West Minot,ME,44.1712,-70.3659,,,04258,point map,zip map,,,
04230,East Poland,ME,44.0627,-70.327,,,04274,point map,zip map,,,
04291,West Poland,ME,44.0409,-70.453,,,04274,point map,zip map,,,
04266,North Turner,ME,44.358,-70.2558,,,04282,point map,zip map,,,
04211,Auburn,ME,44.197,-70.2395,,,04282,point map,zip map,,,
04241,Lewiston,ME,44.197,-70.2395,,,04282,point map,zip map,,,
04212,Auburn,ME,44.197,-70.2395,,,04282,point map,zip map,,,
04243,Lewiston,ME,44.197,-70.2395,,,04282,point map,zip map,,,
04225,Dryden,ME,44.6027,-70.2265,,,04294,point map,zip map,,,
04332,Augusta,ME,44.4141,-69.7519,,,04330,point map,zip map,,,
04333,Augusta,ME,44.3106,-69.7795,,,04330,point map,zip map,,,
04336,Augusta,ME,44.3157,-69.818,,,04330,point map,zip map,,,
04338,Augusta,ME,44.3106,-69.7795,,,04330,point map,zip map,,,
04341,Coopers Mills,ME,44.2588,-69.551,,,04353,point map,zip map,,,
